,molecule_chembl_id,IC50,pIC50,units,smiles
66,CHEMBL306170,26000.0,4.585026652029182,nM,CC1(C)C2CCC1(C)C(OC(=O)c1cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c1)C2NC(=O)c1ccc(O)cc1
67,CHEMBL10,50000.0,4.301029995663981,nM,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
68,CHEMBL428690,960000.0,3.017728766960432,nM,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
69,CHEMBL421565,1200.0,5.920818753952375,nM,Cn1cc(C2=C(c3c4n(c5ccccc35)CCC(CN)C4)C(=O)NC2=O)c2ccccc21
70,CHEMBL1202927,5900.0,5.229147988357855,nM,CN(C)CC1CCn2c(c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)C1.Cl
71,CHEMBL318076,3020.0,5.51999305704285,nM,O=C1NC(=O)c2c1c1c3ccc(F)cc3[nH]c1c1c2c2cccc3c2n1C(CO)CC3
72,CHEMBL538270,383.0,6.416801226031377,nM,CNCC1Cc2cccc3c(C4=C(c5c[nH]c6cc(F)ccc56)C(=O)NC4=O)cn(c23)C1.Cl
73,CHEMBL322172,858.0,6.066512712151295,nM,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1c2c2cccc3c2n1C(CO)CC3
74,CHEMBL72069,13200.0,4.87942606879415,nM,COc1cc2c3[nH]c4ccccc4c3c3c(c2c2c1ccn2C)C(=O)NC3=O
75,CHEMBL306501,3380.0,5.471083299722345,nM,COc1ccc2c3c4c(c5c(ccc6ccn(C)c65)c3n(CCCN3CCC(C(N)=O)CC3)c2c1)C(=O)NC4=O
76,CHEMBL311851,18000.0,4.7447274948966935,nM,COc1ccc2c3c4c(c5c(ccc6ccn(C)c65)c3n(CCN[C@H]3CC[C@H](O)CC3)c2c1)C(=O)NC4=O
77,CHEMBL23254,3800.0,5.42021640338319,nM,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1
78,CHEMBL74637,949.0,6.022733787572707,nM,O=C1NC(=O)c2c1c1c(ccc3cc[nH]c31)c1[nH]c3cc(O)ccc3c21
79,CHEMBL76337,8310.0,5.080398976215889,nM,Cn1ccc2ccc3c4[nH]c5c(CCCNCCO)cccc5c4c4c(c3c21)C(=O)NC4=O
80,CHEMBL308099,2350.0,5.628932137728263,nM,Cn1ccc2ccc3c4[nH]c5cc(O)ccc5c4c4c(c3c21)C(=O)NC4=O
81,CHEMBL73343,1040.0,5.982966660701219,nM,COc1ccc2c3c4c(c5c(ccc6ccn(C)c65)c3n(CCCO)c2c1)C(=O)NC4=O
82,CHEMBL306082,11700.0,4.931814138253839,nM,Cc1cc2ccn(C)c2c2c3c(c4c5ccccc5n(CCCCO)c4c12)C(=O)NC3=O
83,CHEMBL430606,12900.0,4.889410289700751,nM,Cn1ccc2ccc3c4[nH]c5c(CCN6CCNCC6)cccc5c4c4c(c3c21)C(=O)NC4=O
84,CHEMBL308979,4580.0,5.339134521996131,nM,Cn1ccc2ccc3c4[nH]c5c(CCN6CCC[C@H]6CO)cccc5c4c4c(c3c21)C(=O)NC4=O
